district_code,district_name_english,state_name_english,n_pmjay_hospitals,n_pmjay_private,n_pmjay_public,is_apportioned
554,Alappuzha,Kerala,20.0,10.0,10.0,False
121,Ambedkar Nagar,Uttar Pradesh,37.0,13.0,24.0,False
27,Amritsar,Punjab,90.0,77.0,13.0,False
672,Arvalli,Gujarat,64.0,20.0,44.0,False
611,Arwal,Bihar,6.0,0.0,6.0,False
189,Aurangabad,Bihar,18.0,6.0,12.0,False
125,Bahraich,Uttar Pradesh,87.0,13.0,74.0,False
646,Balod,Chhattisgarh,44.0,7.0,37.0,False
127,Balrampur,Uttar Pradesh,50.0,8.0,42.0,False
649,Balrampur-Ramanujganj,Chhattisgarh,39.0,4.0,35.0,False
623,Bandipora,Jammu And Kashmir,7.0,3.0,4.0,False
470,Beed,Maharashtra,47.0,32.0,15.0,False
650,Bemetara,Chhattisgarh,30.0,3.0,27.0,False
525,Bengaluru Urban,Karnataka,319.0,71.0,248.0,False
179,Bhadohi,Uttar Pradesh,52.0,30.0,22.0,False
471,Bhandara,Maharashtra,23.0,13.0,10.0,False
395,Bhind,Madhya Pradesh,11.0,1.0,10.0,False
636,Bijapur,Chhattisgarh,20.0,0.0,20.0,False
676,Botad,Gujarat,31.0,8.0,23.0,False
47,Chamoli,Uttarakhand,9.0,2.0,7.0,False
135,Chandauli,Uttar Pradesh,62.0,47.0,15.0,False
253,Chandel,Manipur,2.0,0.0,2.0,False
473,Chandrapur,Maharashtra,23.0,8.0,15.0,False
398,Chhatarpur,Madhya Pradesh,12.0,1.0,11.0,False
668,Chhotaudepur,Gujarat,44.0,7.0,35.0,False
445,Dahod,Gujarat,114.0,9.0,103.0,False
310,Dakshin Dinajpur,West Bengal,0.0,0.0,0.0,False
400,Damoh,Madhya Pradesh,9.0,1.0,8.0,False
444,Dangs,Gujarat,8.0,0.0,8.0,False
309,Darjeeling,West Bengal,0.8637433040415893,0.0,0.8637433040415893,True
535,Davangere,Karnataka,133.0,21.0,112.0,False
269,Dhalai,Tripura,16.0,0.0,16.0,False
352,Dhenkanal,Odisha,0.0,0.0,0.0,False
404,Dindori,Madhya Pradesh,9.0,1.0,8.0,False
769,Dudu,Rajasthan,24.99640026559349,20.050588448337024,4.945811817256466,True
657,East Jaintia Hills,Meghalaya,9.0,0.0,9.0,False
748,Eluru,Andhra Pradesh,17.0,5.0,12.0,False
573,Erode,Tamil Nadu,92.0,63.0,29.0,False
651,Fazilka,Punjab,14.0,8.0,6.0,False
31,Ferozepur,Punjab,18.0,11.0,7.0,False
446,Gandhinagar,Gujarat,70.0,24.0,44.0,False
328,Garhwa,Jharkhand,12.0,2.0,10.0,False
645,Gariyaband,Chhattisgarh,31.0,9.0,22.0,False
196,Gaya,Bihar,41.0,13.0,28.0,False
654,Gomati,Tripura,16.0,0.0,16.0,False
331,Gumla,Jharkhand,11.0,0.0,11.0,False
17,Hamirpur,Himachal Pradesh,17.0,9.0,8.0,False
686,Hanumakonda,Telangana,83.0,55.0,28.0,False
408,Harda,Madhya Pradesh,10.0,5.0,5.0,False
50,Haridwar,Uttarakhand,54.0,44.0,10.0,False
539,Hassan,Karnataka,187.0,10.0,177.0,False
355,Jagatsinghapur,Odisha,1.0,0.0,1.0,False
102,Jaipur,Rajasthan,230.1138764328777,184.58332334188052,45.530553090997195,True
104,Jalore,Rajasthan,18.28164901324963,11.291606743477713,6.990042269771918,True
314,Jalpaiguri,West Bengal,7.0,3.0,4.0,False
687,Jayashankar Bhupalapally,Telangana,31.0,2.0,29.0,False
105,Jhalawar,Rajasthan,27.0,9.0,18.0,False
153,Jhansi,Uttar Pradesh,66.0,49.0,17.0,False
357,Jharsuguda,Odisha,1.0,0.0,1.0,False
